big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 COP    |         142 | 2008-01-24 | 2013-02-19 |           3.572 |            -0.157
 XRX    |         235 | 2008-01-24 | 2014-01-30 |           3.615 |            -0.156
 SYMC   |         202 | 2008-01-14 | 2014-01-29 |           3.503 |            -0.156
 SJM    |          72 | 2008-01-23 | 2013-06-07 |           3.214 |            -0.156
 ARO    |         335 | 2008-01-07 | 2014-01-09 |           3.848 |            -0.156
 ISRG   |         245 | 2008-01-16 | 2014-01-21 |           3.872 |            -0.152
 ADM    |         180 | 2008-01-14 | 2014-01-22 |           3.493 |            -0.151
 SI     |         233 | 2008-01-14 | 2013-12-16 |           3.658 |            -0.150
 SPW    |         257 | 2008-01-22 | 2014-01-14 |           3.821 |            -0.149
 FAS    |         393 | 2008-11-21 | 2014-01-30 |           5.979 |            -0.148
 GS     |         230 | 2008-01-10 | 2013-12-18 |           4.068 |            -0.146
 ARG    |         153 | 2008-01-14 | 2013-10-10 |           3.957 |            -0.145
 PPG    |         185 | 2008-01-14 | 2013-12-06 |           3.379 |            -0.142
 DORM   |         320 | 2008-01-11 | 2014-01-28 |           4.981 |            -0.138
 GPS    |         210 | 2008-01-16 | 2014-01-30 |           3.618 |            -0.137
 BRCM   |         273 | 2008-01-10 | 2014-01-14 |           3.794 |            -0.136
 V      |         190 | 2008-03-20 | 2014-01-28 |           3.636 |            -0.135
 INFY   |         219 | 2008-01-07 | 2014-01-10 |           3.652 |            -0.134
 HRB    |         205 | 2008-01-09 | 2014-01-30 |           3.539 |            -0.131
 TLT    |          39 | 2008-09-15 | 2012-06-01 |           2.743 |            -0.129
 UVV    |         175 | 2008-01-02 | 2013-12-16 |           3.319 |            -0.126
 HPY    |         267 | 2008-01-22 | 2013-12-20 |           4.011 |            -0.126
 QCOM   |         181 | 2008-01-09 | 2014-01-30 |           3.521 |            -0.126
 QQQ    |          97 | 2008-01-09 | 2013-10-10 |           3.183 |            -0.126
 EMC    |         196 | 2008-01-09 | 2014-01-15 |           3.457 |            -0.125
 DD     |         163 | 2008-01-09 | 2013-12-06 |           3.442 |            -0.119
 STI    |         310 | 2008-01-09 | 2014-01-17 |           4.834 |            -0.118
 NOC    |         115 | 2008-01-09 | 2013-10-23 |           3.161 |            -0.118
 CPA    |         260 | 2008-01-10 | 2014-01-28 |           4.003 |            -0.118
 ADSK   |         261 | 2008-01-07 | 2014-01-30 |           3.784 |            -0.117
 WLP    |         204 | 2008-03-13 | 2014-01-30 |           3.293 |            -0.116
 MRO    |         249 | 2008-01-24 | 2013-11-06 |           3.651 |            -0.115
 COF    |         284 | 2008-01-16 | 2013-12-18 |           4.832 |            -0.114
 NUE    |         246 | 2008-01-10 | 2013-11-08 |           3.833 |            -0.113
 VMI    |         233 | 2008-01-08 | 2014-01-10 |           3.855 |            -0.113
 AEM    |         317 | 2008-01-02 | 2014-01-29 |           4.329 |            -0.112
 QIWI   |          51 | 2013-05-31 | 2014-01-28 |           4.778 |            -0.111
 PCP    |         205 | 2008-01-03 | 2013-11-18 |           3.692 |            -0.111
 DE     |         222 | 2008-01-03 | 2013-12-09 |           3.720 |            -0.108
 BHP    |         262 | 2008-01-03 | 2014-01-16 |           3.828 |            -0.105
 NTAP   |         259 | 2008-01-09 | 2014-01-17 |           3.751 |            -0.104
 CHKP   |         171 | 2008-01-03 | 2014-01-28 |           3.285 |            -0.103
 JNPR   |         269 | 2008-01-14 | 2014-01-24 |           3.986 |            -0.101
 GWW    |         154 | 2008-01-22 | 2014-01-10 |           3.210 |            -0.100
 PNC    |         231 | 2008-01-16 | 2014-01-30 |           4.593 |            -0.098
 HES    |         269 | 2008-01-09 | 2013-10-10 |           3.950 |            -0.097
 CLH    |         203 | 2008-01-07 | 2013-12-23 |           3.512 |            -0.096
 NVO    |         174 | 2008-01-07 | 2014-01-30 |           3.178 |            -0.095
